,beryl,allen,structure_id
628,FC,FC,982
629,BST,BSTd,569
630,IRN,IRN,136
631,ISN,ISN,106
632,PRE,PRE1,10699
633,SSp-ll,SSp-ll4,1094
634,ZI,FF,804
635,ILA,ILA6a,1054
636,VPM,VPM,733
637,DP,DP2,535
638,IF,IF,12
639,SSp-un,SSp-un6b,182305713
640,AUDp,AUDp1,735
641,HATA,HATA,589508447
642,PL,PL6b,132
643,RSPagl,RSPagl1,671
644,PSV,PSV,7
645,CA3,CA3sp,495
646,SSp-bfd,SSp-bfd1,981
647,VISC,VISC2/3,1106
648,GU,GU6b,662
649,SPVO,SPVOvl,69
650,BST,BSTfu,513
651,LDT,LDT,162
652,SLC,SLC,350
653,PL,PL2,195
654,ECT,ECT1,836
655,RSPagl,VISm2/3,480149322
656,PVHd,PVHmpv,464
657,SUB,SUBv-sp,870
658,PeF,PeF,576073704
659,AUDd,AUDd1,527
660,SSp-m,SSp-m5,974
661,ACAv,ACAv6b,819
662,VMH,VMHc,769
663,ANcr1,ANcr1pu,10676
664,VISC,VISC6a,857
665,CA2,CA2sp,446
666,SSp-un,SSp-un2/3,182305697
667,LC,LC,147
668,ACAv,ACAv1,588
669,SSp-ll,SSp-ll2/3,113
670,ProS,ProSv-m,484682496
671,PVi,PVi,118
672,AUDv,AUDv6a,520
673,SIM,SIMpu,10673
674,PP,PP,1044
675,UVU,UVUgr,10732
676,MA,MA,298
677,VISam,VISam2/3,1066
678,SAG,SAG,271
679,SCm,SCdg,26
680,GR,GR,1039
681,IC,ICe,828
682,BST,BSTmg,521
683,SUB,SUBv-m,853
684,PG,PG,931
685,PAR,PAR3,10695
686,SSp-n,SSp-n5,702
687,AUDd,VISlla5,480149246
688,AUDpo,AUDpo6a,249
689,DEC,DECpu,10724
690,COPY,COPYgr,10684
691,TTd,TTd1,1034
692,VISa,VISa4,312782558
693,VPLpc,VPLpc,725
694,CA1,CA1slm,391
695,MV,MV,202
696,PAA,PAA1-3,400
697,BLA,BLAv,451
698,VISpor,VISpor2/3,312782636
699,ENTl,ENTl6b,60
700,SSp-bfd,VISrll4,480149214
701,POL,POL,1029
702,VISam,VISam5,433
703,NLL,NLLv,99
704,BST,BSTse,602
705,FRP,FRP6a,526157196
706,VTA,VTA,749
707,CENT2,CENT2mo,10710
708,DG,DGmb-mo,807
709,LP,LP,218
710,AIv,AIv6a,675
711,CA1,CA1sr,415
712,ENTm,ENTm3,664
713,PB,PBmm,915
714,MG,MGd,1072
715,SIM,SIMmo,10674
716,PFL,PFLmo,10689
717,RSPagl,VISmma6a,480149278
718,DG,DGlb-mo,775
719,PSTN,PSTN,364
720,RSPagl,VISm4,480149326
721,SSp-bfd,VISrll6a,480149222
722,ACB,ACB,56
723,PYR,PYRmo,10731
724,SSp-bfd,VISrll2/3,480149210
725,AON,AONe,175
726,VMH,VMHdm,777
727,SCm,SCdw,42
728,NLOT,NLOT2,268
729,ILA,ILA2,747
730,MEA,MEAav,418
731,NTS,NTSge,674
732,VM,VM,685
733,PAA,PAA3,424
734,SMT,SMT,366
735,MOs,MOs6a,1021
736,TTd,TTd1-4,297
737,RSPagl,VISm1,480149318
738,AMB,AMBd,939
739,RSPd,RSPd1,442
740,PAR,PAR2,10694
741,AUDd,VISlla2/3,480149238
742,PB,KF,123
743,DP,DP2/3,360
744,PA,PA,780
745,MEA,MEAad,411
746,SCm,SCig-b,503
747,ENTm,ENTm4,712
748,SUM,SUMm,1118
749,VII,VII,661
750,ORBm,ORBm1,484
751,MEPO,MEPO,452
752,IPN,IPC,607344838
753,DG,DGcr-po,751
754,RSPagl,VISmmp6a,480149306
755,MRN,MRNp,555
756,AIv,AIv5,800
757,PB,PBme,899
758,SOC,POR,122
759,ANcr2,ANcr2mo,10680
760,MDRN,MDRNv,1107
761,ORBm,ORBm6a,910
762,SSp-bfd,SSp-bfd5,1070
763,IAM,IAM,1120
764,ENTl,ENTl2b,764
765,ProS,ProSd-sp,484682483
766,MRN,MRNmg,548
767,SCs,SCsg,842
768,CA1,CA1sp,407
769,OT,islm,489
770,LD,LD,155
771,TM,TMd,1126
772,IO,IO,83
773,IPN,IPR,607344834
774,CA2,CA2so,438
775,SubG,SubG,321
776,ZI,A13,796
